"","User.ID","ISBN","Book.Rating"
"1",276747,"0060517794",9
"2",276754,"0684867621",8
"3",276755,"0451166892",5
"4",276796,"0330332775",5
"5",276804,"0440498058",8
"6",276822,"0060096195",10
"7",276822,"0786817070",10
"8",276832,"0345446860",5
"9",276896,"0440241537",10
"10",276925,"002542730X",10
"11",276925,"0385504209",8
"12",276953,"0446310786",10
"13",276957,"0312966970",6
"14",276964,"0684867621",8
"15",276986,"0060930187",10
"16",276986,"0375760911",10
"17",276988,"0671793489",8
"18",277036,"0812511816",9
"19",277042,"0312283709",8
"20",277042,"0446605484",7
"21",277042,"0446611212",8
"22",277042,"074343627X",8
"23",277042,"0971880107",2
"24",277051,"0385720920",10
"25",277072,"1573229571",9
"26",277096,"0064407667",7
"27",277143,"0345342968",9
"28",277157,"0345452550",7
"29",277157,"0399148639",6
"30",277195,"0330332775",10
"31",277195,"0671021001",10
"32",277197,"0316969680",8
"33",277197,"0375703861",7
"34",277212,"044023722X",8
"35",277229,"0312282990",7
"36",277230,"037541309X",7
"37",277235,"0375703861",10
"38",277246,"0452282152",10
"39",277257,"0345422384",8
"40",277315,"0060173289",8
"41",277315,"0060976845",5
"42",277363,"0156027321",8
"43",277378,"0312195516",7
"44",277378,"0670892963",7
"45",277427,"002542730X",10
"46",277427,"0061009059",9
"47",277427,"0316776963",8
"48",277427,"0345413903",10
"49",277427,"0385424736",9
"50",277427,"0385486804",9
"51",277427,"0385504209",8
"52",277427,"0399501487",9
"53",277427,"0425116840",8
"54",277427,"0440224764",7
"55",277427,"0679731148",9
"56",277427,"0743412028",9
"57",277439,"0316666343",7
"58",277439,"0345452550",5
"59",277439,"0671027360",7
"60",277462,"0312195516",10
"61",277466,"0380718340",7
"62",277469,"0553572997",9
"63",277502,"0385482388",9
"64",277517,"0452282152",8
"65",277523,"0316693200",10
"66",277523,"0385508042",10
"67",277523,"0385510438",10
"68",277523,"0440241537",10
"69",277523,"0743206045",10
"70",277523,"1558744150",10
"71",277527,"0316777722",10
"72",277527,"0679723161",8
"73",277529,"0064400557",8
"74",277533,"0679734775",6
"75",277535,"0316601950",9
"76",277575,"0142004235",5
"77",277598,"0375707972",8
"78",277601,"0312421273",3
"79",277623,"002542730X",5
"80",277629,"0380018179",8
"81",277629,"0425116840",6
"82",277639,"0380731851",6
"83",277639,"0440211727",8
"84",277639,"0440214041",9
"85",277639,"0553579754",7
"86",277651,"0743225406",8
"87",277698,"0316769487",6
"88",277710,"0061015725",4
"89",277710,"0553582763",6
"90",277722,"0449005615",10
"91",277743,"0446310786",9
"92",277744,"0312421273",7
"93",277744,"0345339681",3
"94",277744,"0440235162",5
"95",277752,"0316666343",7
"96",277752,"0679734775",8
"97",277756,"0385484518",7
"98",277759,"0553211404",7
"99",277764,"0399501487",9
"100",277765,"0553272535",8
"101",277776,"0345339681",7
"102",277778,"0061097314",8
"103",277783,"0380778556",8
"104",277798,"0385484518",8
"105",277803,"0142001740",8
"106",277807,"0345443284",5
"107",277808,"0553272535",9
"108",277827,"0380778556",9
"109",277828,"0380778556",8
"110",277884,"0380789019",7
"111",277901,"0446672211",7
"112",277901,"0452282152",8
"113",277903,"0440226430",8
"114",277904,"006019491X",7
"115",277915,"0452269571",8
"116",277915,"0671510053",7
"117",277922,"0440225701",6
"118",277923,"0385492081",9
"119",277937,"0060934417",9
"120",277937,"0316168815",7
"121",277937,"0452283205",7
"122",277937,"0743237188",7
"123",277938,"0446672211",9
"124",277945,"0515136379",7
"125",277945,"0515136530",7
"126",277958,"0142001740",9
"127",277959,"0156027321",8
"128",277959,"0767905385",6
"129",277965,"0316789089",5
"130",277965,"0385484518",10
"131",277965,"0399145087",7
"132",277965,"0684874350",10
"133",277965,"0786881852",7
"134",277969,"0446527785",8
"135",277997,"067976402X",8
"136",278007,"0316601950",6
"137",278026,"0061009059",8
"138",278026,"0380731851",5
"139",278026,"0449006522",8
"140",278026,"0515130389",8
"141",278026,"0743206045",7
"142",278048,"0316569321",7
"143",278075,"0452282152",8
"144",278079,"0385486804",8
"145",278106,"0140244824",9
"146",278107,"0446605239",8
"147",278112,"0385472951",8
"148",278122,"0375727345",10
"149",278131,"0060958022",8
"150",278137,"0345337662",7
"151",278137,"0440940001",8
"152",278137,"0446606812",7
"153",278137,"0804106304",8
"154",278137,"1558744150",9
"155",278162,"059035342X",10
"156",278176,"0971880107",9
"157",278185,"0142000205",4
"158",278188,"0440122090",4
"159",278188,"0440225701",9
"160",278194,"0060926317",8
"161",278194,"0385498802",4
"162",278194,"0440241537",7
"163",278194,"0802139256",6
"164",278202,"014025448X",2
"165",278202,"0385497466",3
"166",278218,"0060977493",7
"167",278220,"0671003755",8
"168",278221,"0553582755",9
"169",278221,"0804106304",9
"170",278243,"0156027321",8
"171",278243,"0375725784",7
"172",278243,"0671510053",8
"173",278254,"0671027360",8
"174",278257,"0451153553",8
"175",278325,"0440214041",7
"176",278333,"0440225701",10
"177",278342,"0671510053",8
"178",278342,"0743225406",8
"179",278346,"051513287X",6
"180",278350,"0312195516",9
"181",278356,"0439064872",8
"182",278390,"0425182908",4
"183",278390,"0671027360",7
"184",278390,"080410753X",9
"185",278418,"0394820371",8
"186",278418,"0515130389",8
"187",278418,"0515131229",8
"188",278422,"0671027360",6
"189",278469,"0316569321",7
"190",278469,"0446679593",6
"191",278469,"0743237188",7
"192",278483,"0380731851",8
"193",278487,"0553578693",10
"194",278522,"0743225406",5
"195",278525,"0394820371",10
"196",278535,"0425182878",9
"197",278535,"0446605484",10
"198",278535,"0446610038",10
"199",278535,"0446611212",9
"200",278535,"0449003787",9
