topic,top_words
целом вполне цены немного довольно впечатление правда плюс деньги наличие места приятное звезд однако найти зато сожалению пять взгляд кстати наверное хорошего мало звезды пожалуй слишком класса неплохо хватает остальном 
поэтому качество питере питер останавливался гостинице отелей самый первый именно часто санкт-петербург второй останавливаюсь городе отелях сети лет расположения остановиться отели останавливаться петербурге командировке категории кроме других нравится снова спб 
отеле время останавливались дня года ночи останавливалась жили дней остались впечатления отдыхали довольны люкс раза пару две праздники поездки петербург семьей брали данном остановились неделю проживание долго отдохнуть машине ездили 
этаже окна минус двор единственный маленький тихий стандартный кондиционер окнами звукоизоляция этаж стандарт лифт слышно маленькие выходили улице лифта внутренний окно выходят тишина улицу летом шума шумно спать минусов этажах 
несколько также спа небольшой бассейн отдыха утра гостей бесплатно зал огромный зона большим разных сауна дорогой прекрасная джакузи детьми посещения множество входит васильевском хорош ворота московские небольшая бассейном острове детей 
интерьер гостиница мебель дизайн гостиницы красиво внутри двух лобби здание современный холл гостиницу стиле вокруг дома понравилась здании историческом оформление холле вкусом входе расположенный лишь атмосферу расположена доме чувствуется стильно 
могу стороны период впервые проведения г регистрации проживали первое рекомендуем гости проводили обед конференции теплый возможности удивило условия зале отдельный залов удобен встреч конференций мероприятия завтра организации мероприятий далее замечательная 
просто сервис уровне атмосфера шикарный выше высшем санкт-петербурге интерьеры рестораны великолепный уровень лучший возможность лучших прекрасные похвал обслуживания идеальное всяких сюда высоте уровня самые дорого высоком начиная идеально шикарные роскошный 
день приятно ночь новый вечером хотелось выходные мужем выбрали порадовал год следующий решили заселении провели принесли провести рождения шампанского бронировании свадьбы получили работы шампанское сделали качестве приезду пожалели комплимент подарок 
вид видом номеров окна собор город прямо напротив площадь окон неву собора эрмитаж набережной исаакиевский дорогу мойки музей прекрасным крови открывается брать крыше исаакиевского ночью посмотреть зимой невы исакиевский дворец 
центре города расположен удобно место доступности достопримечательностей нужно шаговой достопримечательности питера находится месте санкт-петербурга пешей парковка основных вариант тихом мест аэропорта бизнес петербурга людей туристов прогулок подходит городу расположением вход 
метро рядом минут пешком невского вокзала недалеко центр центра кафе находится минутах московского невский близко ходьбы проспект площади проспекта ресторанов невском мин практически дворцовой далеко такси станции дойти проспекте эрмитажа 
отеля спасибо особенно ресепшн чистота отметить хочется персонала большое ресепшен абсолютно буду персоналу комфорт отдых сотрудники отелю отдельно хочу отдельное отношение огромное положительные внимание девушки количество приветливые благодарность вопросы гостям 
номер сразу быстро приехали заселили проблем раньше пришлось времени утром ресепшене заселение бронировали заранее сутки цене оказалось кроватью часов готов дали улучшенный пока двоих предложили около оказался завтраком часа вещи 
номерах ванной кровати работает вода стоит вообще комнате ремонт плюсы отсутствие минусы плюсов везде душа душ запах постоянно ощущение работал пол сильно шумоизоляция плохо имеет давно денег дверь холодно полотенец 
номере кровать каждый необходимое удобная тапочки комната ванная wi-fi уборка большая чайник халаты минусов принадлежности телевизор полотенца белье сантехника воды холодильник новая фен набор сейф порадовало постельное утюг халат подушки 
хотя соответствует действительно полностью комфортный весьма данный сайте сервиса двери возможно ожидания видно ремонта момент никто разу замечательно отзывы сделать здорово мелочи каждом люди другом могут услуги дни -первых поскольку 
кофе т чай любой вкус д несмотря завтраке фрукты совершенно например омлет блюда свежие заказать шампанское каша нескольких менее случае смотря выпечка помимо каши вида причем утро течение другие завтраков 
завтрак большой достаточно чистый выбор ресторане стол шведский просторный вкусный вкусно стоимость бесплатный неплохой интернет блюд разнообразный ресторана удобный первом меню wifi завтрака хорошим приличный рублей выбором быстрый цену ужин 
очень отель номера персонал расположение завтраки хороший отличный чисто понравилось ресторан обслуживание приветливый удобное уютный чистые отличное вежливый хорошие понравился уютные цена прекрасный рекомендую уютно вкусные хорошее месторасположение приятный тихо 
