"","income","native_country","hours_per_week","capital_loss","capital_gain","sex","race","relationship","occupation","marital_status","education_num","education","fnlwgt","workclass","age"
"1","<=50K","United-States",13,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",83311,"Self-emp-not-inc",50
"2","<=50K","United-States",40,0,0,"Male","White","Not-in-family","Handlers-cleaners","Divorced",9,"HS-grad",215646,"Private",38
"3","<=50K","United-States",40,0,0,"Male","Black","Husband","Handlers-cleaners","Married-civ-spouse",7,"11th",234721,"Private",53
"4","<=50K","Cuba",40,0,0,"Female","Black","Wife","Prof-specialty","Married-civ-spouse",13,"Bachelors",338409,"Private",28
"5","<=50K","United-States",40,0,0,"Female","White","Wife","Exec-managerial","Married-civ-spouse",14,"Masters",284582,"Private",37
"6","<=50K","Jamaica",16,0,0,"Female","Black","Not-in-family","Other-service","Married-spouse-absent",5,"9th",160187,"Private",49
"7",">50K","United-States",45,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",9,"HS-grad",209642,"Self-emp-not-inc",52
"8",">50K","United-States",50,0,14084,"Female","White","Not-in-family","Prof-specialty","Never-married",14,"Masters",45781,"Private",31
"9",">50K","United-States",40,0,5178,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",159449,"Private",42
"10",">50K","United-States",80,0,0,"Male","Black","Husband","Exec-managerial","Married-civ-spouse",10,"Some-college",280464,"Private",37
"11",">50K","India",40,0,0,"Male","Asian-Pac-Islander","Husband","Prof-specialty","Married-civ-spouse",13,"Bachelors",141297,"State-gov",30
"12","<=50K","United-States",30,0,0,"Female","White","Own-child","Adm-clerical","Never-married",13,"Bachelors",122272,"Private",23
"13","<=50K","United-States",50,0,0,"Male","Black","Not-in-family","Sales","Never-married",12,"Assoc-acdm",205019,"Private",32
"14",">50K","?",40,0,0,"Male","Asian-Pac-Islander","Husband","Craft-repair","Married-civ-spouse",11,"Assoc-voc",121772,"Private",40
"15","<=50K","Mexico",45,0,0,"Male","Amer-Indian-Eskimo","Husband","Transport-moving","Married-civ-spouse",4,"7th-8th",245487,"Private",34
"16","<=50K","United-States",35,0,0,"Male","White","Own-child","Farming-fishing","Never-married",9,"HS-grad",176756,"Self-emp-not-inc",25
"17","<=50K","United-States",40,0,0,"Male","White","Unmarried","Machine-op-inspct","Never-married",9,"HS-grad",186824,"Private",32
"18","<=50K","United-States",50,0,0,"Male","White","Husband","Sales","Married-civ-spouse",7,"11th",28887,"Private",38
"19",">50K","United-States",45,0,0,"Female","White","Unmarried","Exec-managerial","Divorced",14,"Masters",292175,"Self-emp-not-inc",43
"20",">50K","United-States",60,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",16,"Doctorate",193524,"Private",40
"21","<=50K","United-States",20,0,0,"Female","Black","Unmarried","Other-service","Separated",9,"HS-grad",302146,"Private",54
"22","<=50K","United-States",40,0,0,"Male","Black","Husband","Farming-fishing","Married-civ-spouse",5,"9th",76845,"Federal-gov",35
"23","<=50K","United-States",40,2042,0,"Male","White","Husband","Transport-moving","Married-civ-spouse",7,"11th",117037,"Private",43
"24","<=50K","United-States",40,0,0,"Female","White","Unmarried","Tech-support","Divorced",9,"HS-grad",109015,"Private",59
"25",">50K","United-States",40,0,0,"Male","White","Husband","Tech-support","Married-civ-spouse",13,"Bachelors",216851,"Local-gov",56
"26","<=50K","United-States",40,0,0,"Male","White","Own-child","Craft-repair","Never-married",9,"HS-grad",168294,"Private",19
