"","Sighted","Reported","Location","Shape","Duration"
"40856",19780313,20070103,"Ozamis (Philippines),","circle","5 minustes"
"45308",20070201,20071114,"Hastings, MI","triangle","5-10 minutes"
"54604",20090616,20090616,"Dublin (Ireland),","sphere","10 sec"
"46375",20071128,20071129,"Williamston, SC","light","15min"
"55603",20090831,20090830,"Scottsbluf, NE","flash","30 seconds"
"2260",19980307,19980315,"Lake Placid, FL","light","3 minutes"
"12524",20010813,20010815,"Euclid, OH","light","2 minutes"
"27080",20040518,20040523,"Lake Powell, UT","oval","4 hours"
"19339",20000915,20030521,"Plant City/Mulberry, FL","oval","3 minutes"
"48751",19870811,20080515,"Neosho, MO","rectangle","15 min"
"33597",20051001,20051001,"Tinley Park, IL","circle","15-20 minutes"
"53053",19951119,20090212,"Virginia Beach, VA","circle","20-30 Seconds"
"1719",19970710,19970713,"Onalaska, WI","sphere","30 secs"
"20929",20030813,20030814,"Delaware, OH","unknown","1 minute"
"50664",19660201,20080811,"Randolph, OH","oval","five to ten seconds"
"60495",20100708,20100708,"Carolina Beach, NC","disk","10 minutes"
"6923",19991205,19991205,"Dallas /Ft. Worth area, South of the, TX","light","5 min"
"17056",19901208,20020807,"Amsterdam (Netherlands),","sphere","5 minutes"
"54076",20090509,20090509,"Newport News, VA","triangle","3 Minutes"
"42304",19820615,20070528,"Haughton, LA","disk","10 seconds"
"33278",20050726,20050726,"Jefforsonville, IN","triangle","10 Min."
"49062",20080731,20080730,"Jensen Beach, FL","changing","over 40 mins"
"7079",20000109,20000109,"Los Angeles, CA","sphere","2 minutes"
"26994",20040629,20040630,"Walpole (Australia),","fireball","15sec"
"24482",20031020,20040108,"Prophetstown, IL","other","15 min."
"18851",19760614,20030208,"Wurtland, KY","cigar","1 hour"
"50965",20081024,20081029,"Tazewell, VA","fireball","2 minutes"
"51668",20081002,20081002,"Hockessin, DE","cylinder","2 Min"
"16102",19930613,20020528,"Lafayette, LA","teardrop","22:20"
"40889",20050615,20070118,"Paincines (Pinnacle Rocks in Pinnacles National Monument), CA","changing","at least 15 minutes"
"22656",19630801,20031021,"Wenatchee, WA","formation","5 Seconds"
"10957",19750710,20010131,"Marlborough, CT","disk","30 Minutes"
"49061",20080725,20080725,"York, PA","changing","over 1 hour"
"36615",20050715,20060313,"Port Dover (Canada), ON","cylinder","1 minute approx."
"11689",20001101,20010511,"Mitchell, SD","other","1 minute +/-"
"50229",20080831,20080831,"Philadelphia, PA","disk","20-30secs"
"14579",20020125,20020129,"Williamsport, PA","triangle","10 minutes"
"42737",20070408,20070408,"Baltimore, MD","light","8 seconds"
"55555",20090802,20090803,"Middlesbrough (UK/England),","oval","2/8/09"
"7134",19980824,20000202,"Albuquerque (Outside of), NM","triangle","10 Seconds"
"57064",20090919,20090921,"North Huntingdon, PA","light","20 seconds"
"21093",20030818,20030825,"Rockerville, SD","triangle","5 min."
"24023",20000509,20040210,"Lawton, OK","sphere","5 to 10 seconds"
"25766",20040305,20040512,"Mexico City (Mexico),","light","2-5 minutes"
"28159",20040819,20041012,"Chaska, MN","rectangle","4.5 hours"
"26401",20040624,20040625,"India,","cigar","15 seconds"
"60588",20100728,20100729,"Dayville, CT","other","15 seconds"
"10864",20010201,20010201,"Salem, NH","disk","ten min."
"38114",20060724,20060725,"Searcy, AR","oval","30 seconds"
"23238",20031119,20031120,"Abbeville, LA","formation","10 minutes"
"8721",20000605,20000609,"Conway, SC","triangle","15MINUTES APPOX"
"2542",19980316,19980330,"Albany, OR","cigar","8-10 minutes"
"2432",19980925,19980925,"Memphis, TN","flash","3 min"
"46263",20071223,20071226,"Chicago, IL","disk","3 minutes"
"58108",20091122,20091122,"San Bernardino, CA","fireball","2 minutes"
"47018",20080219,20080220,"Cheney, WA","flash","3 SECONDS"
"35194",20051215,20051215,"Bolton, MA","light","15 seconds"
"35582",20051227,20051228,"Sacramento, CA","teardrop","15 seconds"
"20790",20020925,20030819,"Clinton, SC","other","2-3 sec. (approx.)"
"26937",20040614,20040616,"Glendale, AZ","formation","5 minutes"
"21285",20030817,20030817,"Federal Way, WA","egg","3 Minutes"
"58880",20100206,20100207,"Monterey, CA","light","10 min"
"24659",20010214,20040310,"Calgary (Canada), AB","cylinder","approx: two hours"
"57516",20091218,20091219,"Denver, CO","disk","4 minutes"
"40229",20061109,20061110,"Brookline, MA","triangle","5 minutes"
"33099",20050710,20050804,"Tinton Falls, NJ","circle","15 Sec."
"11535",19860601,20010528,"South Windsor, CT","circle","25 seconds"
"38943",20060927,20060927,"Wilton, NH","other","4min."
"55259",20090404,20090603,"Oceanside, CA","light","1 min. 10 secs."
"10316",20010111,20010112,"Nederland, CO","cylinder","3 to 4 seconds"
"59860",20100417,20100416,"Ocean Springs, MS","fireball","5 sec"
"14193",20011118,20011118,"Seattle, WA","circle","90 seconds"
"39345",20060813,20060814,"Killeen, TX","unknown","30 sec."
"15878",20020627,20020627,"Selden, NY","formation","4 min"
"33368",19791101,20050816,"Meriden, CT","light","2mins"
"40584",19730601,20070106,"Oshawa (Canada), ON","fireball","5 min"
"43729",20070707,20070708,"Gwinn, MI","unknown","aprox 2-3 hours per night"
"25909",20040410,20040414,"Williams Lake (Canada), BC","light","1 minutes"
"21118",20030726,20030728,"Westminster (near), MD","formation","30 sec"
"58978",20090408,20100302,"Holden Beach, NC","light","40 minutes"
"6034",19991105,19991110,"Carbondale, KS","disk","5 min"
"57681",20080718,20091111,"Salem/Rolla (between), MO","disk","5 to 10 seconds"
"13568",20010927,20010928,"Denver, CO","light","1 hour"
"41414",19780801,20070323,"Clifton Park, NY","oval","1 minute"
"46811",19661111,20080122,"Hempstead, NY","unknown","one  minute +/-"
"25793",20040430,20040501,"Stellarton (Canada), NS","other","approx: 7 minutes"
"32477",19660812,20050609,"Caseyville, IL","light","10 minutes"
"12996",20010828,20010828,"Chester, VA","rectangle","1 Minute"
"39949",20061013,20061125,"La Mesa, CA","light","5-10 min"
"6731",19991114,19991118,"Geneva, IL","unknown","1-1 minute"
"52199",20080619,20081206,"Los Angeles, CA","cigar","Griffith Park"
"15694",20020609,20020610,"Nashville, TN","unknown","1-10 minutes"
"32401",20040501,20050709,"Orlando, FL","sphere","5 min"
"30587",19830601,20050225,"Phoenix, AZ","circle","10 minutes+"
"46645",20070822,20080222,"Lebanon, TN","teardrop","10 secs"
"3814",19990123,19990124,"Chicago (1 hours south ofoff I 57), IL","disk","approx 15 min"
"15906",20020704,20020704,"Murrieta, CA","light","3 minutes"
"34506",20051026,20051026,"Chesterfield, MO","light","10 sec"
"47487",20080430,20080501,"Trumbull, CT","disk","20 minutes"
"19231",20030207,20030207,"Garrett, IN","light","6 Seconds"
"30284",19690801,20050224,"Berlin (Germany),","unknown","5 min"
"57103",20090920,20090920,"Valrico, FL","flash","5 seconds"
"49035",20010501,20080515,"Henderson, NV","unknown","3 minutes"
"5463",19830815,19990726,"Katonah, NY","triangle","10 minutes"
"9932",20000723,20001218,"Toronto (Canada), ON","oval","10 min"
"36271",20060215,20060216,"Pismo Beach, CA","fireball","10 minutes"
"20611",20021215,20030706,"Newport Beach, CA","light","1.5 minutes"
"5563",19990911,19990912,"Paramus/Teaneck, NJ","circle","20-25minutes"
"29727",19931010,20041212,"Zlatoust (Russia),","sphere","20 minutes"
"18023",20010101,20021224,"Progresso (Mexico),","fireball","15 min"
"10003",20001105,20010112,"Plantation, FL","teardrop","5 sec tops"
"53199",20060910,20090114,"Cherry Grove (Canada), AB","triangle","30-60mins+"
"30680",20041010,20050224,"Berkeley, CA","unknown","3 minutes"
"22068",19940114,20030918,"Moorpark, CA","sphere","appx 5 min"
"34238",19950822,20051002,"Greensburg, KY","rectangle","5 min."
"56507",20091009,20091021,"Kearny, NJ","cylinder","15 minutes"
"28995",20041108,20041110,"College Station, TX","changing","ongoing"
"28499",20040715,20040912,"Glasgow (UK/Scotland),","unknown","till day break"
"17209",19961220,20021012,"La Union (Philippines),","other","less than a minute"
"22006",20030903,20030904,"Campo, CA","light","10 seconds"
"43974",20070911,20070915,"Moberly Lake (Canada), BC","light","3sec"
"35103",20051105,20051105,"Oxnard, CA","other","15 minutes"
"38193",19840330,20060728,"Griffin, GA","circle","15-20 seconds"
"14496",20020103,20020105,"Dubuque, IA","disk","Thursday"
"24675",20040203,20040311,"Houston (Canada), BC","other","3 to 4 minutes"
"49213",20080802,20080804,"Wapakoneta, OH","sphere","1.5 minutes"
"36189",20060219,20060219,"Merced, CA","light","15 minutes"
"51470",20081002,20081102,"Arlington, TX","light","5 min"
"53106",20070630,20090217,"Burns/Chicamoniny Lake, OR","flash","instant"
"19501",19790415,20030424,"Lexington, NC","triangle","5 t0 8 minutes"
"51641",19940214,20081105,"Salyersville, KY","triangle","1:00 min"
"13849",20011118,20011213,"Windsor, CO","triangle","5 seconds"
"47497",20080305,20080306,"Woodbridge, VA","light","45 minutes"
"41624",20070225,20070301,"Briarwood, NY","flash","5 minutes"
"3468",19981115,19981227,"Wheat Ridge, CO","diamond","8 SEC"
"23711",20000818,20031202,"Dupo, IL","diamond","approx. 20 mins"
"6857",19991112,19991122,"Jackson, MS","sphere","5-10 seconds"
"14681",20020208,20020209,"Renton, WA","fireball","3-5 secs"
"41643",20070220,20070220,"Mequon, WI","triangle","1 minute"
"57624",20091231,20091231,"Preston (UK/England),","light","60 seconds"
"57296",20100103,20100103,"Trinity and Riverside (between), TX","disk","60 seconds"
"48165",20080118,20080401,"Springtown, TX","circle","30 minutes"
"38544",20060716,20060717,"La Jolla, CA","formation","3 seconds"
"10158",20001231,20010114,"Anchorage, AK","changing","4-6 hours"
"32844",20050822,20050822,"Corona, CA","unknown","15 mins"
"49257",20080714,20080714,"Prescott, AZ","oval","1 min"
"14750",20020329,20020329,"Farmersville, CA","light","10-15 seconds"
"10467",20001022,20001210,"Puyallup, WA","diamond","2  minutes"
"31809",20040519,20050321,"Hastings, MI","triangle","about 20 sec."
"8622",20000627,20000627,"Boston, MA","light","10 seconds"
"15381",19751220,20020507,"Sunnyvale, CA","light","&lt;15 minutes"
"25337",20040224,20040224,"North Bay (Canada), ON","fireball","2-3 minutes"
